route_id,agency_id,route_short_name,route_long_name,route_type
582,PMPML,306,Dange Chowk to Megapolis Phase 3 (DOWN),3
583,PMPML,307,ISKCON Mandir in Shindewasti Ravet to Chinchwadgaon (UP),3
584,PMPML,307,Chinchwadgaon to ISKCON Mandir in Shindewasti Ravet (DOWN),3
585,PMPML,308,Gharkul Vasahat Chikhali to Nigdi Pawale Chowk (UP),3
586,PMPML,308,Nigdi Pawale Chowk to Gharkul Vasahat Chikhali (DOWN),3
587,PMPML,309,Sant Tukaram Maharaj Krida Sankul Dehugaon to Alandi (UP),3
588,PMPML,309,Alandi to Sant Tukaram Maharaj Krida Sankul Dehugaon (DOWN),3
589,PMPML,30,Ghotawade Phata to Marketyard Depot (UP),3
590,PMPML,30,Marketyard Depot to Ghotawade Phata (DOWN),3
597,PMPML,312,Chinchwadgaon to Pune Station Depot (UP),3
598,PMPML,312,Pune Station Depot to Chinchwadgaon (DOWN),3
603,PMPML,313,Chandkhed to Chinchwadgaon (UP),3
604,PMPML,313,Chinchwadgaon to Chandkhed (DOWN),3
605,PMPML,314,Chakan Ambethan Chowk to Nigdi Pawale Chowk (UP),3
606,PMPML,314,Nigdi to Chakan Ambethan Chowk (DOWN),3
607,PMPML,315,Bhosari Pmt Chowk to Pune Station Sassoon Road (UP),3
608,PMPML,315,Pune Station Sassoon Road to Bhosari Pmt Chowk (DOWN),3
609,PMPML,316,Katar Khadak to Chinchwadgaon (UP),3
610,PMPML,316,Chinchwadgaon to Katar Khadak (DOWN),3
613,PMPML,317,Sambhaji Nagar to Pune Station Depot (UP),3
614,PMPML,317,Pune Station Depot to Sambhaji Nagar (DOWN),3
623,PMPML,320,Hinjawadi Maan Phase 3 to Chinchwadgaon (UP),3
624,PMPML,320,Chinchwadgaon to Hinjawadi Maan Phase 3 (DOWN),3
627,PMPML,322A,Akurdi Railway Station to Ma Na Pa Main Gate (UP),3
628,PMPML,322A,Ma Na Pa Main Gate to Akurdi Railway Station (DOWN),3
629,PMPML,322,Akurdi Railway Station to Ma Na Pa Main Gate (UP),3
630,PMPML,322,Ma Na Pa Main Gate to Akurdi Railway Station (DOWN),3
631,PMPML,323A,Gharkul Vasahat Chikhali to Ma Na Pa Main Stand (UP),3
632,PMPML,323A,Ma Na Pa Main Stand to Gharkul Vasahat Chikhali (DOWN),3
633,PMPML,323,Nageshwar Vidyalaya Chikhli to Ma Na Pa Main Stand (UP),3
634,PMPML,323,Ma Na Pa Main Stand to Nageshwar Vidyalaya Chikhli (DOWN),3
635,PMPML,324,Hinjawadi Maan Phase 3 to Bhosari Terminal (UP),3
636,PMPML,324,Bhosari Terminal to Hinjawadi Maan Phase 3 (DOWN),3
641,PMPML,326,Nageshwar Vidyalaya Chikhli to Pimprigaon (UP),3
642,PMPML,326,Pimprigaon to Nageshwar Vidyalaya Chikhli (DOWN),3
647,PMPML,327,Hinjawadi Maan Phase 3 to Alandi (UP),3
648,PMPML,327,Alandi to Hinjawadi Maan Phase 3 (DOWN),3
654,PMPML,329,Siddhanta College Sudumbare to Pimpri Road (UP),3
655,PMPML,329,Pimpri Road to Siddhanta College Sudumbare (DOWN),3
656,PMPML,330,Talegaon Dhabhade Maruti Mandir to Alandi (UP),3
657,PMPML,330,Alandi to Talegaon Dhabhade Maruti Mandir (DOWN),3
659,PMPML,331A,Pimple Saudagar- Mahadev Mandir / Pimple Saudagar to Charholigaon Burde Vasti (UP),3
661,PMPML,331A,Charholigaon Burde Vasti to Pimple Saudagar (DOWN),3
662,PMPML,331B,Pimple Saudagar- Mahadev Mandir / Pimple Saudagar to Charholigaon (UP),3
663,PMPML,331B,Charholigaon to Pimple Saudagar (DOWN),3
666,PMPML,331,Pimple Saudagar- Mahadev Mandir / Pimple Saudagar to Bhosari Gavhane Vasti (UP),3
667,PMPML,331,Bhosari Gavhane Vasti to Pimple Saudagar (DOWN),3
1266,PMPML,332,Tata Motors Bebadohal to Nigdi Pawale Chowk (UP),3
