stop_id,stop_name,stop_lat,stop_lon
478,Br Gholap Vidyalay,18.5751461258896,73.8083955626694
22,Aundhgaon,18.5664652339579,73.8119429477036
23,Bodygate,18.5632396001316,73.8133028155348
1153,Bremen Chowk,18.5611,73.8144
25,Sindh Colony Aundh Road,18.5562433364166,73.818174462138
26,Kasturba Gandhi Vasahat,18.555099,73.819
27,Gol Market Aundh Road,18.551201,73.8218
28,Bal Kalyan Sanstha,18.5483,73.823898
29,Rajbhavan,18.544701,73.8265
30,Pune Vidhyapeeth Gate Pashan Road,18.5411375849498,73.8305088112896
68,Hinjawadi Maan Phase 3,18.5765,73.688202
385,Ma Na Pa Nava Pul,18.5236101373176,73.8541913946321
69,Tcs Company,18.581006189797,73.6876487872195
387,Kasba Peth Police Chowky,18.5205,73.855904
70,Tech Mahindra,18.5828782462313,73.690040122205
71,Gangaramwadi Circul,18.5842441972854,73.6935639249919
72,Dlf Company,18.5847126462746,73.6959188150942
73,Tata Motors,18.5868505263367,73.7001246273791
1071,Power House Hinjawadi,18.5889797303948,73.7050162807947
75,Infosys Phase 2,18.5932289043914,73.7077209407582
76,Emcure Hinjawadi Road,18.5959639436859,73.7128470060139
77,Wipro Company Circle,18.5967568238656,73.717780294276
78,Tata Johnson,18.5944855120567,73.7280275181345
79,Bank Of Maharashtra Hinjawadi,18.5940411600763,73.7319616222326
8,Mezza Nine,18.5939574369641,73.7343968360648
9,Shivaji Chowk Hinjawadi,18.5912712494071,73.7391915604882
10,D Mart Hinjawadi,18.591215012959,73.7444394660379
11,Hinjawadi Jakat Naka,18.5909715481262,73.7496009463289
491,Ganpati Chowk Laxmi Road,18.5149311916394,73.8548889436307
12,Savtamali Mandir,18.5920049773499,73.7545876918852
13,Wakad,18.5925072189163,73.7618053697926
14,Mount Vert Society Wakad,18.5901706802127,73.7696468962989
16,Apple Hospital Vishal Nagar / Apple Hospital,18.588699,73.780502
17,Vishal Nagar,18.588301,73.784203
106517,Chondhe English Medium School,18.5865450497831,73.7809459555698
6689,Nandgude Shala,18.5825,73.783401
6690,Nandanvan Chowk,18.581699,73.783997
6691,Neeta Park Pimple Nilakh,18.579201,73.786003
6692,Petrol Pump Pimple Nilakh,18.5772931154143,73.7876018889179
6693,Ingwale Chowk Cornar,18.5755475541477,73.7891492380462
6694,Ingwale Chowk,18.5716964517224,73.7906271473823
6695,Sindh Colony Aundh Road,18.556499,73.817802
1150,Ganesh Mandir Pimplenilakh,18.5741421255325,73.7953648143407
1186,Bremen Chowk,18.561001,73.814301
504,Br Gholap Vidyalay,18.5751255717243,73.808293043829
505,Navi Sangvi,18.5762043071857,73.8118654904034
521,Panyachi Taki Navi Sangvi,18.5753464723248,73.8151163461558
522,Pwd Colony Navi Sangvi,18.5755608803788,73.8172265960263
527,Makan Hospital,18.5760492792613,73.8192348905393
528,Chandramani Nagar,18.5749159913161,73.8236135218072
35,Coep Hostel Jm Road,18.5263,73.850502
